symbol,query_symbol,industry,category,subcategory,longName,exchange,primaryExchange
ITW,ITW,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,ILLINOIS TOOL WORKS,SMART,NYSE
IVZ,IVZ,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,INVESCO LTD,SMART,NYSE
J,J,Industrial,Engineering&Construction,Engineering/R&D Services,JACOBS SOLUTIONS INC,SMART,NYSE
JBHT,JBHT,Industrial,Transportation,Transport-Truck,HUNT (JB) TRANSPRT SVCS INC,SMART,NASDAQ
JBL,JBL,Industrial,Electronics,Electronic Compo-Misc,JABIL INC,SMART,NYSE
JCI,JCI,Industrial,Building Materials,Bldg Prod-Air&Heating,JOHNSON CONTROLS INTERNATION,SMART,NYSE
JKHY,JKHY,Technology,Software,Data Processing/Mgmt,JACK HENRY & ASSOCIATES INC,SMART,NASDAQ
JNJ,JNJ,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,JOHNSON & JOHNSON,SMART,NYSE
JPM,JPM,Financial,Banks,Diversified Banking Inst,JPMORGAN CHASE & CO,SMART,NYSE
KDP,KDP,"Consumer, Non-cyclical",Beverages,Beverages-Non-alcoholic,KEURIG DR PEPPER INC,SMART,NASDAQ
KEY,KEY,Financial,Banks,Super-Regional Banks-US,KEYCORP,SMART,NYSE
KEYS,KEYS,Industrial,Electronics,Electronic Measur Instr,KEYSIGHT TECHNOLOGIES IN,SMART,NYSE
KHC,KHC,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,KRAFT HEINZ CO/THE,SMART,NASDAQ
KIM,KIM,Financial,REITS,REITS-Shopping Centers,KIMCO REALTY CORP,SMART,NYSE
KKR,KKR,Financial,Private Equity,Private Equity,KKR & CO INC,SMART,NYSE
KLAC,KLAC,Technology,Semiconductors,Semiconductor Equipment,KLA CORP,SMART,NASDAQ
KMB,KMB,"Consumer, Non-cyclical",Household Products/Wares,Consumer Products-Misc,KIMBERLY-CLARK CORP,SMART,NASDAQ
KMI,KMI,Energy,Pipelines,Pipelines,KINDER MORGAN INC,SMART,NYSE
KMX,KMX,"Consumer, Cyclical",Retail,Retail-Automobile,CARMAX INC,SMART,NYSE
KO,KO,"Consumer, Non-cyclical",Beverages,Beverages-Non-alcoholic,COCA-COLA CO/THE,SMART,NYSE
KR,KR,"Consumer, Non-cyclical",Food,Food-Retail,KROGER CO,SMART,NYSE
KVUE,KVUE,"Consumer, Non-cyclical",Cosmetics/Personal Care,Cosmetics&Toiletries,KENVUE INC,SMART,NYSE
L,L,Financial,Insurance,Multi-line Insurance,LOEWS CORP,SMART,NYSE
LDOS,LDOS,Technology,Computers,Computer Services,LEIDOS HOLDINGS INC,SMART,NYSE
LEN,LEN,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,LENNAR CORP-A,SMART,NYSE
LH,LH,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,LABCORP HOLDINGS INC,SMART,NYSE
LHX,LHX,Industrial,Aerospace/Defense,Aerospace/Defense-Equip,L3HARRIS TECHNOLOGIES INC,SMART,NYSE
LII,LII,Industrial,Building Materials,Bldg Prod-Air&Heating,LENNOX INTERNATIONAL INC,SMART,NYSE
LIN,LIN,Basic Materials,Chemicals,Industrial Gases,LINDE PLC,SMART,NASDAQ
LKQ,LKQ,"Consumer, Cyclical",Distribution/Wholesale,Distribution/Wholesale,LKQ CORP,SMART,NASDAQ
LLY,LLY,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,ELI LILLY & CO,SMART,NYSE
LMT,LMT,Industrial,Aerospace/Defense,Aerospace/Defense,LOCKHEED MARTIN CORP,SMART,NYSE
LNT,LNT,Utilities,Electric,Electric-Integrated,ALLIANT ENERGY CORP,SMART,NASDAQ
LOW,LOW,"Consumer, Cyclical",Retail,Retail-Building Products,LOWE'S COS INC,SMART,NYSE
LRCX,LRCX,Technology,Semiconductors,Semiconductor Equipment,LAM RESEARCH CORP,SMART,NASDAQ
LULU,LULU,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,LULULEMON ATHLETICA INC,SMART,NASDAQ
LUV,LUV,"Consumer, Cyclical",Airlines,Airlines,SOUTHWEST AIRLINES CO,SMART,NYSE
LVS,LVS,"Consumer, Cyclical",Lodging,Casino Hotels,LAS VEGAS SANDS CORP,SMART,NYSE
LW,LW,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,LAMB WESTON HOLDINGS INC,SMART,NYSE
LYB,LYB,Basic Materials,Chemicals,Chemicals-Diversified,LYONDELLBASELL INDU-CL A,SMART,NYSE
LYV,LYV,"Consumer, Cyclical",Entertainment,Theaters,LIVE NATION ENTERTAINMENT IN,SMART,NYSE
MA,MA,Financial,Diversified Finan Serv,Finance-Credit Card,MASTERCARD INC - A,SMART,NYSE
MAA,MAA,Financial,REITS,REITS-Apartments,MID-AMERICA APARTMENT COMM,SMART,NYSE
MAR,MAR,"Consumer, Cyclical",Lodging,Hotels&Motels,MARRIOTT INTERNATIONAL -CL A,SMART,NASDAQ
MAS,MAS,Industrial,Building Materials,Bldg Prod-Wood,MASCO CORP,SMART,NYSE
MCD,MCD,"Consumer, Cyclical",Retail,Retail-Restaurants,MC DONALD'S-CORP,SMART,NYSE
MCHP,MCHP,Technology,Semiconductors,Electronic Compo-Semicon,MICROCHIP TECHNOLOGY INC,SMART,NASDAQ
MCK,MCK,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Whsle Drug Dist,MCKESSON CORP,SMART,NYSE
MCO,MCO,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,MOODY'S CORP,SMART,NYSE
MDLZ,MDLZ,"Consumer, Non-cyclical",Food,Food-Confectionery,MONDELEZ INTERNATIONAL INC-A,SMART,NASDAQ
MDT,MDT,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,MEDTRONIC PLC,SMART,NYSE
MET,MET,Financial,Insurance,Multi-line Insurance,METLIFE INC,SMART,NYSE
META,META,Communications,Internet,Internet Content-Entmnt,META PLATFORMS INC-CLASS A,SMART,NASDAQ
MGM,MGM,"Consumer, Cyclical",Lodging,Casino Hotels,MGM RESORTS INTERNATIONAL,SMART,NYSE
MHK,MHK,Industrial,Building Materials,Bldg&Construct Prod-Misc,MOHAWK INDUSTRIES INC,SMART,NYSE
MKC,MKC,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,MCCORMICK & CO-NON VTG SHRS,SMART,NYSE
MKTX,MKTX,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,MARKETAXESS HOLDINGS INC,SMART,NASDAQ
MLM,MLM,Industrial,Building Materials,Bldg Prod-Cement/Aggreg,MARTIN MARIETTA MATERIALS,SMART,NYSE
MMM,MMM,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,3M CO,SMART,NYSE
MNST,MNST,"Consumer, Non-cyclical",Beverages,Beverages-Non-alcoholic,MONSTER BEVERAGE CORP,SMART,NASDAQ
MO,MO,"Consumer, Non-cyclical",Agriculture,Tobacco,ALTRIA GROUP INC,SMART,NYSE
MOH,MOH,"Consumer, Non-cyclical",Healthcare-Services,Medical-HMO,MOLINA HEALTHCARE INC,SMART,NYSE
MOS,MOS,Basic Materials,Chemicals,Agricultural Chemicals,MOSAIC CO/THE,SMART,NYSE
MPC,MPC,Energy,Oil&Gas,Oil Refining&Marketing,MARATHON PETROLEUM CORP,SMART,NYSE
MPWR,MPWR,Technology,Semiconductors,Electronic Compo-Semicon,MONOLITHIC POWER SYSTEMS INC,SMART,NASDAQ
MRK,MRK,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,MERCK & CO INC,SMART,NYSE
